study_accession	sample_id	sample_accession	replicate_id	run_accession	experiment_accession	ftp_R1	ftp_R2
PRJEB86111	GGCNMZ	SAMEA117961231	GGCNMZ_Rep3	ERR14791401	ERX14196188	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791401/GGCNMZ_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791401/GGCNMZ_Rep3.R2.fastq.gz
PRJEB86111	GGNFB7	SAMEA117961219	GGNFB7_Rep1	ERR14791342	ERX14196129	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791342/GGNFB7_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791342/GGNFB7_Rep1.R2.fastq.gz
PRJEB86111	GGNFB7	SAMEA117961219	GGNFB7_Rep2	ERR14791343	ERX14196130	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791343/GGNFB7_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791343/GGNFB7_Rep2.R2.fastq.gz
PRJEB86111	GGNFB7	SAMEA117961219	GGNFB7_Rep3	ERR14791344	ERX14196131	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791344/GGNFB7_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791344/GGNFB7_Rep3.R2.fastq.gz
PRJEB86111	GHFNF6	SAMEA117961216	GHFNF6_Rep1	ERR14791345	ERX14196132	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791345/GHFNF6_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791345/GHFNF6_Rep1.R2.fastq.gz
PRJEB86111	GHFNF6	SAMEA117961216	GHFNF6_Rep2	ERR14791346	ERX14196133	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791346/GHFNF6_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791346/GHFNF6_Rep2.R2.fastq.gz
PRJEB86111	GHFNF6	SAMEA117961216	GHFNF6_Rep3	ERR14791347	ERX14196134	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791347/GHFNF6_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791347/GHFNF6_Rep3.R2.fastq.gz
PRJEB86111	GJE14J	SAMEA117961202	GJE14J_Rep1	ERR14791348	ERX14196135	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791348/GJE14J_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791348/GJE14J_Rep1.R2.fastq.gz
PRJEB86111	GJE14J	SAMEA117961202	GJE14J_Rep2	ERR14791349	ERX14196136	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791349/GJE14J_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791349/GJE14J_Rep2.R2.fastq.gz
PRJEB86111	GJE14J	SAMEA117961202	GJE14J_Rep3	ERR14791350	ERX14196137	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791350/GJE14J_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791350/GJE14J_Rep3.R2.fastq.gz
PRJEB86111	GLGSPA	SAMEA117961194	GLGSPA_Rep1	ERR14791351	ERX14196138	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791351/GLGSPA_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791351/GLGSPA_Rep1.R2.fastq.gz
PRJEB86111	GLGSPA	SAMEA117961194	GLGSPA_Rep2	ERR14791352	ERX14196139	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791352/GLGSPA_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791352/GLGSPA_Rep2.R2.fastq.gz
PRJEB86111	GLGSPA	SAMEA117961194	GLGSPA_Rep3	ERR14791353	ERX14196140	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791353/GLGSPA_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791353/GLGSPA_Rep3.R2.fastq.gz
PRJEB86111	GNC8AY	SAMEA117961224	GNC8AY_Rep1	ERR14791354	ERX14196141	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791354/GNC8AY_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791354/GNC8AY_Rep1.R2.fastq.gz
PRJEB86111	GNC8AY	SAMEA117961224	GNC8AY_Rep2	ERR14791355	ERX14196142	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791355/GNC8AY_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791355/GNC8AY_Rep2.R2.fastq.gz
PRJEB86111	GNC8AY	SAMEA117961224	GNC8AY_Rep3	ERR14791356	ERX14196143	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791356/GNC8AY_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791356/GNC8AY_Rep3.R2.fastq.gz
PRJEB86111	GPRD1F	SAMEA117961191	GPRD1F_Rep1	ERR14791357	ERX14196144	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791357/GPRD1F_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791357/GPRD1F_Rep1.R2.fastq.gz
PRJEB86111	GPRD1F	SAMEA117961191	GPRD1F_Rep2	ERR14791358	ERX14196145	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791358/GPRD1F_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791358/GPRD1F_Rep2.R2.fastq.gz
