study_accession	sample_id	sample_accession	replicate_id	run_accession	experiment_accession	ftp_R1	ftp_R2
PRJEB86111	G1P4N6	SAMEA117961193	G1P4N6_Rep1	ERR14791273	ERX14196060	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791273/G1P4N6_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791273/G1P4N6_Rep1.R2.fastq.gz
PRJEB86111	G1P4N6	SAMEA117961193	G1P4N6_Rep2	ERR14791274	ERX14196061	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791274/G1P4N6_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791274/G1P4N6_Rep2.R2.fastq.gz
PRJEB86111	G1P4N6	SAMEA117961193	G1P4N6_Rep3	ERR14791275	ERX14196062	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791275/G1P4N6_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791275/G1P4N6_Rep3.R2.fastq.gz
PRJEB86111	G281YO	SAMEA117961198	G281YO_Rep1	ERR14791276	ERX14196063	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791276/G281YO_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791276/G281YO_Rep1.R2.fastq.gz
PRJEB86111	G281YO	SAMEA117961198	G281YO_Rep2	ERR14791277	ERX14196064	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791277/G281YO_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791277/G281YO_Rep2.R2.fastq.gz
PRJEB86111	G281YO	SAMEA117961198	G281YO_Rep3	ERR14791278	ERX14196065	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791278/G281YO_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791278/G281YO_Rep3.R2.fastq.gz
PRJEB86111	G3FFNC	SAMEA117961200	G3FFNC_Rep1	ERR14791279	ERX14196066	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791279/G3FFNC_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791279/G3FFNC_Rep1.R2.fastq.gz
PRJEB86111	G3FFNC	SAMEA117961200	G3FFNC_Rep2	ERR14791280	ERX14196067	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791280/G3FFNC_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791280/G3FFNC_Rep2.R2.fastq.gz
PRJEB86111	G3FFNC	SAMEA117961200	G3FFNC_Rep3	ERR14791281	ERX14196068	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791281/G3FFNC_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791281/G3FFNC_Rep3.R2.fastq.gz
PRJEB86111	G4FG95	SAMEA117961227	G4FG95_Rep1	ERR14791282	ERX14196069	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791282/G4FG95_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791282/G4FG95_Rep1.R2.fastq.gz
PRJEB86111	G4FG95	SAMEA117961227	G4FG95_Rep2	ERR14791283	ERX14196070	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791283/G4FG95_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791283/G4FG95_Rep2.R2.fastq.gz
PRJEB86111	G4FG95	SAMEA117961227	G4FG95_Rep3	ERR14791284	ERX14196071	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791284/G4FG95_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791284/G4FG95_Rep3.R2.fastq.gz
PRJEB86111	G4N1NA	SAMEA117961221	G4N1NA_Rep1	ERR14791285	ERX14196072	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791285/G4N1NA_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791285/G4N1NA_Rep1.R2.fastq.gz
PRJEB86111	G4N1NA	SAMEA117961221	G4N1NA_Rep2	ERR14791286	ERX14196073	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791286/G4N1NA_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791286/G4N1NA_Rep2.R2.fastq.gz
PRJEB86111	G4N1NA	SAMEA117961221	G4N1NA_Rep3	ERR14791287	ERX14196074	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791287/G4N1NA_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791287/G4N1NA_Rep3.R2.fastq.gz
PRJEB86111	G5JHXH	SAMEA117961206	G5JHXH_Rep1	ERR14791288	ERX14196075	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791288/G5JHXH_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791288/G5JHXH_Rep1.R2.fastq.gz
PRJEB86111	G5JHXH	SAMEA117961206	G5JHXH_Rep2	ERR14791289	ERX14196076	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791289/G5JHXH_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791289/G5JHXH_Rep2.R2.fastq.gz
PRJEB86111	G5JHXH	SAMEA117961206	G5JHXH_Rep3	ERR14791290	ERX14196077	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791290/G5JHXH_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791290/G5JHXH_Rep3.R2.fastq.gz
PRJEB86111	G7C18R	SAMEA117961205	G7C18R_Rep1	ERR14791291	ERX14196078	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791291/G7C18R_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791291/G7C18R_Rep1.R2.fastq.gz
PRJEB86111	G7C18R	SAMEA117961205	G7C18R_Rep2	ERR14791292	ERX14196079	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791292/G7C18R_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791292/G7C18R_Rep2.R2.fastq.gz
PRJEB86111	G7C18R	SAMEA117961205	G7C18R_Rep3	ERR14791293	ERX14196080	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791293/G7C18R_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791293/G7C18R_Rep3.R2.fastq.gz
PRJEB86111	G8H3YU	SAMEA117961190	G8H3YU_Rep1	ERR14791294	ERX14196081	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791294/G8H3YU_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791294/G8H3YU_Rep1.R2.fastq.gz
PRJEB86111	G8H3YU	SAMEA117961190	G8H3YU_Rep2	ERR14791295	ERX14196082	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791295/G8H3YU_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791295/G8H3YU_Rep2.R2.fastq.gz
PRJEB86111	G8H3YU	SAMEA117961190	G8H3YU_Rep3	ERR14791296	ERX14196083	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791296/G8H3YU_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791296/G8H3YU_Rep3.R2.fastq.gz
PRJEB86111	G9FAFS	SAMEA117961225	G9FAFS_Rep1	ERR14791297	ERX14196084	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791297/G9FAFS_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791297/G9FAFS_Rep1.R2.fastq.gz
PRJEB86111	G9FAFS	SAMEA117961225	G9FAFS_Rep2	ERR14791298	ERX14196085	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791298/G9FAFS_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791298/G9FAFS_Rep2.R2.fastq.gz
PRJEB86111	G9FAFS	SAMEA117961225	G9FAFS_Rep3	ERR14791299	ERX14196086	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791299/G9FAFS_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791299/G9FAFS_Rep3.R2.fastq.gz
PRJEB86111	G9M8L4	SAMEA117961217	G9M8L4_Rep1	ERR14791300	ERX14196087	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791300/G9M8L4_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791300/G9M8L4_Rep1.R2.fastq.gz
PRJEB86111	G9M8L4	SAMEA117961217	G9M8L4_Rep2	ERR14791301	ERX14196088	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791301/G9M8L4_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791301/G9M8L4_Rep2.R2.fastq.gz
PRJEB86111	G9M8L4	SAMEA117961217	G9M8L4_Rep3	ERR14791302	ERX14196089	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791302/G9M8L4_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791302/G9M8L4_Rep3.R2.fastq.gz
PRJEB86111	G9XHGJ	SAMEA117961210	G9XHGJ_Rep1	ERR14791303	ERX14196090	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791303/G9XHGJ_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791303/G9XHGJ_Rep1.R2.fastq.gz
PRJEB86111	G9XHGJ	SAMEA117961210	G9XHGJ_Rep2	ERR14791304	ERX14196091	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791304/G9XHGJ_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791304/G9XHGJ_Rep2.R2.fastq.gz
PRJEB86111	G9XHGJ	SAMEA117961210	G9XHGJ_Rep3	ERR14791305	ERX14196092	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791305/G9XHGJ_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791305/G9XHGJ_Rep3.R2.fastq.gz
PRJEB86111	G9YBS1	SAMEA117961197	G9YBS1_Rep1	ERR14791306	ERX14196093	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791306/G9YBS1_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791306/G9YBS1_Rep1.R2.fastq.gz
PRJEB86111	G9YBS1	SAMEA117961197	G9YBS1_Rep2	ERR14791307	ERX14196094	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791307/G9YBS1_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791307/G9YBS1_Rep2.R2.fastq.gz
PRJEB86111	G9YBS1	SAMEA117961197	G9YBS1_Rep3	ERR14791308	ERX14196095	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791308/G9YBS1_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791308/G9YBS1_Rep3.R2.fastq.gz
PRJEB86111	GC1X7F	SAMEA117961189	GC1X7F_Rep1	ERR14791309	ERX14196096	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791309/GC1X7F_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791309/GC1X7F_Rep1.R2.fastq.gz
PRJEB86111	GC1X7F	SAMEA117961189	GC1X7F_Rep2	ERR14791310	ERX14196097	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791310/GC1X7F_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791310/GC1X7F_Rep2.R2.fastq.gz
PRJEB86111	GC1X7F	SAMEA117961189	GC1X7F_Rep3	ERR14791311	ERX14196098	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791311/GC1X7F_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791311/GC1X7F_Rep3.R2.fastq.gz
PRJEB86111	GCD75J	SAMEA117961201	GCD75J_Rep1	ERR14791312	ERX14196099	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791312/GCD75J_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791312/GCD75J_Rep1.R2.fastq.gz
PRJEB86111	GCD75J	SAMEA117961201	GCD75J_Rep2	ERR14791313	ERX14196100	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791313/GCD75J_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791313/GCD75J_Rep2.R2.fastq.gz
PRJEB86111	GCD75J	SAMEA117961201	GCD75J_Rep3	ERR14791314	ERX14196101	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791314/GCD75J_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791314/GCD75J_Rep3.R2.fastq.gz
PRJEB86111	GCHYFW	SAMEA117961209	GCHYFW_Rep1	ERR14791315	ERX14196102	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791315/GCHYFW_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791315/GCHYFW_Rep1.R2.fastq.gz
PRJEB86111	GCHYFW	SAMEA117961209	GCHYFW_Rep2	ERR14791316	ERX14196103	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791316/GCHYFW_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791316/GCHYFW_Rep2.R2.fastq.gz
PRJEB86111	GCHYFW	SAMEA117961209	GCHYFW_Rep3	ERR14791317	ERX14196104	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791317/GCHYFW_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791317/GCHYFW_Rep3.R2.fastq.gz
PRJEB86111	GDP5BG	SAMEA117961192	GDP5BG_Rep1	ERR14791318	ERX14196105	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791318/GDP5BG_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791318/GDP5BG_Rep1.R2.fastq.gz
PRJEB86111	GDP5BG	SAMEA117961192	GDP5BG_Rep2	ERR14791319	ERX14196106	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791319/GDP5BG_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791319/GDP5BG_Rep2.R2.fastq.gz
PRJEB86111	GDP5BG	SAMEA117961192	GDP5BG_Rep3	ERR14791320	ERX14196107	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791320/GDP5BG_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791320/GDP5BG_Rep3.R2.fastq.gz
PRJEB86111	GE1S1W	SAMEA117961226	GE1S1W_Rep1	ERR14791321	ERX14196108	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791321/GE1S1W_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791321/GE1S1W_Rep1.R2.fastq.gz
PRJEB86111	GE1S1W	SAMEA117961226	GE1S1W_Rep2	ERR14791322	ERX14196109	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791322/GE1S1W_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791322/GE1S1W_Rep2.R2.fastq.gz
PRJEB86111	GE1S1W	SAMEA117961226	GE1S1W_Rep3	ERR14791323	ERX14196110	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791323/GE1S1W_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791323/GE1S1W_Rep3.R2.fastq.gz
PRJEB86111	GE4WUW	SAMEA117961214	GE4WUW_Rep1	ERR14791324	ERX14196111	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791324/GE4WUW_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791324/GE4WUW_Rep1.R2.fastq.gz
